date,day_code,day_desc,week,phase,weekly_mileage,runs_per_week,distance,run_type,run_desc,run_name,pace,dist_km
2024-01-07,6,Sun,2,base,30.0,5,4.8,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,7.72
2024-01-08,0,Mon,3,base,41.9,6,0.0,rest,This is a rest day. Prioritize relaxation and recovery.,Rest Day,-,0.0
2024-01-09,1,Tues,3,base,41.9,6,5.6,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,9.01
2024-01-10,2,Wed,3,base,41.9,6,5.5,workout,1.5 mile warm up followed by 10  reps of approximately 60 second hill sprints. Finish with 1.5 mile cool down,10 x 1 minute hill sprints,4:14/km,8.85
2024-01-11,3,Thurs,3,base,41.9,6,5.6,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,9.01
2024-01-12,4,Fri,3,base,41.9,6,5.6,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,9.01
2024-01-13,5,Sat,3,base,41.9,6,14.0,long_run,"The goal of this run is to build endurance, not speed. Keep the effort easy and focus on completing the distance",Long Run,5:08/km,22.53
2024-01-14,6,Sun,3,base,41.9,6,5.6,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,9.01
2024-01-15,0,Mon,4,base,53.9,6,0.0,rest,This is a rest day. Prioritize relaxation and recovery.,Rest Day,-,0.0
2024-01-16,1,Tues,4,base,53.9,6,7.3,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,11.75
2024-01-17,2,Wed,4,base,53.9,6,6.75,workout,1 mile warm up followd by 12 reps of 400m with 60 seconds easy jogging in between reps. Finish with 1 mile cool down,12 x 400,4:14/km,10.86
2024-01-18,3,Thurs,4,base,53.9,6,7.3,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,11.75
2024-01-19,4,Fri,4,base,53.9,6,7.3,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,11.75
2024-01-20,5,Sat,4,base,53.9,6,18.0,long_run,"The goal of this run is to build endurance, not speed. Keep the effort easy and focus on completing the distance",Long Run,5:08/km,28.97
2024-01-21,6,Sun,4,base,53.9,6,7.3,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,11.75
2024-01-22,0,Mon,5,peak,53.9,6,0.0,rest,This is a rest day. Prioritize relaxation and recovery.,Rest Day,-,0.0
2024-01-23,1,Tues,5,peak,53.9,6,7.7,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,12.39
2024-01-24,2,Wed,5,peak,53.9,6,7.75,workout,1 mile warm-up followd by 5 reps of 1 mile with 90 seconds easy jogging in between.  Finish with 1 mile cool down.,5 x 1 mile,3:43/km - 3:53/km,12.47
2024-01-25,3,Thurs,5,peak,53.9,6,7.7,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,12.39
2024-01-26,4,Fri,5,peak,53.9,6,7.7,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,12.39
2024-01-27,5,Sat,5,peak,53.9,6,15.3,long_workout,"After a substantial warm-up, run 10km at goal race pace. Continue to cool down at an easy jogging pace until you've completed the total long run distance.",10k at race pace,3:53/km,24.62
2024-01-28,6,Sun,5,peak,53.9,6,7.7,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,12.39
2024-01-29,0,Mon,6,peak,53.9,6,0.0,rest,This is a rest day. Prioritize relaxation and recovery.,Rest Day,-,0.0
2024-01-30,1,Tues,6,peak,53.9,6,7.3,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,11.75
2024-01-31,2,Wed,6,peak,53.9,6,8.75,workout,1 mile warm-up followd by 3 reps of 2 miles with 2 minutes easy jogging in between. Finish with 1 mile cool down.,3 x 2 mile,3:43/km - 3:53/km,14.08
2024-02-01,3,Thurs,6,peak,53.9,6,7.3,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,11.75
2024-02-02,4,Fri,6,peak,53.9,6,7.3,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,11.75
2024-02-03,5,Sat,6,peak,53.9,6,15.8,long_workout,"After a substantial warm-up, complete 3 sets of 2mi at goal race pace with a minimum of 3 minutes recovery between sets",3 x 2mi at race pace,3:53/km,25.43
2024-02-04,6,Sun,6,peak,53.9,6,7.3,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,11.75
2024-02-05,0,Mon,7,peak,53.9,6,0.0,rest,This is a rest day. Prioritize relaxation and recovery.,Rest Day,-,0.0
2024-02-06,1,Tues,7,peak,53.9,6,7.8,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,12.55
2024-02-07,2,Wed,7,peak,53.9,6,6.5,workout,1 mile warm-up followed by 6 reps of 1k with 90 seconds easy jogging in between reps. Finish with 1 mile cool down.,6 x 1k,3:43/km - 3:53/km,10.46
2024-02-08,3,Thurs,7,peak,53.9,6,7.8,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,12.55
2024-02-09,4,Fri,7,peak,53.9,6,7.8,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,12.55
2024-02-10,5,Sat,7,peak,53.9,6,16.4,long_workout,"After a substantial warm-up, run 10km at goal race pace. Continue to cool down at an easy jogging pace until you've completed the total long run distance.",10k at race pace,3:53/km,26.39
2024-02-11,6,Sun,7,peak,53.9,6,7.8,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,12.55
2024-02-12,0,Mon,8,peak,53.9,6,0.0,rest,This is a rest day. Prioritize relaxation and recovery.,Rest Day,-,0.0
2024-02-13,1,Tues,8,peak,53.9,6,7.4,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,11.91
2024-02-14,2,Wed,8,peak,53.9,6,7.5,workout,1 mile warm-up followd by 6 reps of 800m with 90 seconds easy jogging in between. Then 6 reps of 400m with 90 seconds easy jogging in between. Finish with 1 mile cool down.,"6 x 800, 6 x 400",3:43/km - 3:53/km,12.07
2024-02-15,3,Thurs,8,peak,53.9,6,7.4,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,11.91
2024-02-16,4,Fri,8,peak,53.9,6,7.4,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,11.91
2024-02-17,5,Sat,8,peak,53.9,6,16.9,long_workout,"After a substantial warm-up, complete 3 sets of 2mi at goal race pace with a minimum of 3 minutes recovery between sets",3 x 2mi at race pace,3:53/km,27.2
2024-02-18,6,Sun,8,peak,53.9,6,7.4,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,11.91
2024-02-19,0,Mon,9,peak,53.9,6,0.0,rest,This is a rest day. Prioritize relaxation and recovery.,Rest Day,-,0.0
2024-02-20,1,Tues,9,peak,53.9,6,7.2,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,11.59
2024-02-21,2,Wed,9,peak,53.9,6,7.75,workout,1 mile warm-up followd by 5 reps of 1 mile with 90 seconds easy jogging in between.  Finish with 1 mile cool down.,5 x 1 mile,3:43/km - 3:53/km,12.47
2024-02-22,3,Thurs,9,peak,53.9,6,7.2,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,11.59
2024-02-23,4,Fri,9,peak,53.9,6,7.2,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,11.59
2024-02-24,5,Sat,9,peak,53.9,6,17.5,long_workout,"After a substantial warm-up, run 10km at goal race pace. Continue to cool down at an easy jogging pace until you've completed the total long run distance.",10k at race pace,3:53/km,28.16
2024-02-25,6,Sun,9,peak,53.9,6,7.2,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,11.59
2024-02-26,0,Mon,10,peak,53.9,6,0.0,rest,This is a rest day. Prioritize relaxation and recovery.,Rest Day,-,0.0
2024-02-27,1,Tues,10,peak,53.9,6,6.8,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,10.94
2024-02-28,2,Wed,10,peak,53.9,6,8.75,workout,1 mile warm-up followd by 3 reps of 2 miles with 2 minutes easy jogging in between. Finish with 1 mile cool down.,3 x 2 mile,3:43/km - 3:53/km,14.08
2024-02-29,3,Thurs,10,peak,53.9,6,6.8,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,10.94
2024-03-01,4,Fri,10,peak,53.9,6,6.8,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,10.94
2024-03-02,5,Sat,10,peak,53.9,6,18.0,long_workout,"After a substantial warm-up, complete 3 sets of 2mi at goal race pace with a minimum of 3 minutes recovery between sets",3 x 2mi at race pace,3:53/km,28.97
2024-03-03,6,Sun,10,peak,53.9,6,6.8,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,10.94
2024-03-04,0,Mon,11,taper,37.73693076865392,5,0.0,rest,This is a rest day. Prioritize relaxation and recovery.,Rest Day,-,0.0
2024-03-05,1,Tues,11,taper,37.73693076865392,5,6.5,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,10.46
2024-03-06,2,Wed,11,taper,37.73693076865392,5,5.75,workout,1 mile warm up followd by 6 reps of 800m with 90 seconds easy jogging in between reps. Finish with 1 mile cool down,6 x 800m,3:43/km - 3:53/km,9.25
2024-03-07,3,Thurs,11,taper,37.73693076865392,5,6.5,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,10.46
2024-03-08,4,Fri,11,taper,37.73693076865392,5,0.0,rest,This is a rest day. Prioritize relaxation and recovery.,Rest Day,-,0.0
2024-03-09,5,Sat,11,taper,37.73693076865392,5,12.6,long_run,"The goal of this run is to build endurance, not speed. Keep the effort easy and focus on completing the distance",Long Run,5:08/km,20.28
2024-03-10,6,Sun,11,taper,37.73693076865392,5,6.5,easy,This run should be easy enough that you could carry on a conversation throughout the run.,Easy Day,5:08/km,10.46
2024-03-11,0,Mon,12,taper,21.563960439230815,4,0.0,rest,This is a rest day. Prioritize relaxation and recovery.,Rest Day,-,0.0
2024-03-12,1,Tues,12,taper,21.563960439230815,4,4.8,easy,"The majority of this run should be at your usual easy pace, but do 3-5 reps of 30-60 second efforts at your goal race pace in the final mile of the run.                        This will allow you to maintain your top-end fitness as you taper toward race day.",Easy + Strides,5:08/km,7.72
2024-03-13,2,Wed,12,taper,21.563960439230815,4,4.8,easy,"The majority of this run should be at your usual easy pace, but do 3-5 reps of 30-60 second efforts at your goal race pace in the final mile of the run.                        This will allow you to maintain your top-end fitness as you taper toward race day.",Easy + Strides,5:08/km,7.72
2024-03-14,3,Thurs,12,taper,21.563960439230815,4,4.8,easy,"The majority of this run should be at your usual easy pace, but do 3-5 reps of 30-60 second efforts at your goal race pace in the final mile of the run.                        This will allow you to maintain your top-end fitness as you taper toward race day.",Easy + Strides,5:08/km,7.72
2024-03-15,4,Fri,12,taper,21.563960439230815,4,13.1,race,"Race day has arrived! Be patient, stick to your plan, and trust in your training. Good luck!",Race Day,3:53/km,21.08
